Dimension,Power,Time,Optimization
50,6000,1.531523,Ofast
50,6000,1.532749,Ofast
50,6000,1.532822,Ofast
50,6000,1.530711,Ofast
50,6000,1.533874,Ofast
50,6000,1.532788,Ofast
50,6000,1.534865,Ofast
50,7000,1.790806,Ofast
50,7000,1.787430,Ofast
50,7000,1.789039,Ofast
50,7000,1.788462,Ofast
50,7000,1.785985,Ofast
50,7000,1.787150,Ofast
50,7000,1.787854,Ofast
50,7000,1.787142,Ofast
50,7000,1.789370,Ofast
50,7000,1.789653,Ofast
50,7000,1.786568,Ofast
50,7000,1.788047,Ofast
50,7000,1.786794,Ofast
50,7000,1.788967,Ofast
50,7000,1.787084,Ofast
50,7000,1.786298,Ofast
50,7000,1.789174,Ofast
50,7000,1.787029,Ofast
50,7000,1.787154,Ofast
50,7000,1.788618,Ofast
50,7000,1.789232,Ofast
50,7000,1.786927,Ofast
50,7000,1.787506,Ofast
50,7000,1.787412,Ofast
50,7000,1.788199,Ofast
50,7000,1.789908,Ofast
50,7000,1.787839,Ofast
50,7000,1.786951,Ofast
50,7000,1.787938,Ofast
50,7000,1.787600,Ofast
All entries in matrix are NaN-like
50,8000,2.044631,Ofast
All entries in matrix are NaN-like
50,8000,2.063097,Ofast
All entries in matrix are NaN-like
50,8000,2.060083,Ofast
All entries in matrix are NaN-like
50,8000,2.018973,Ofast
All entries in matrix are NaN-like
50,8000,2.047053,Ofast
All entries in matrix are NaN-like
50,8000,1.998887,Ofast
All entries in matrix are NaN-like
50,8000,1.986974,Ofast
All entries in matrix are NaN-like
50,8000,2.028274,Ofast
All entries in matrix are NaN-like
50,8000,2.037478,Ofast
50,8000,2.041300,Ofast
All entries in matrix are NaN-like
50,8000,1.972656,Ofast
50,8000,2.044169,Ofast
All entries in matrix are NaN-like
50,8000,2.037597,Ofast
All entries in matrix are NaN-like
50,8000,1.947480,Ofast
50,8000,2.041523,Ofast
All entries in matrix are NaN-like
50,8000,2.032233,Ofast
50,8000,2.043198,Ofast
All entries in matrix are NaN-like
50,8000,2.036359,Ofast
50,8000,2.042915,Ofast
